mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0008496284484863281,0.0002947330474853516,0.7709030100334449,0.838615707234163,23,{'min_samples_split': 23},93,0.7851239669421488,0.8238993710691824,0.75,0.8368200836820083,0.773109243697479,0.8538622129436325,0.8151260504201681,0.8350730688935282,0.7310924369747899,0.8434237995824635,8.128424726181662e-05,1.732920967917736e-05,0.028881274725929086,0.009878449158172308
0.0008235931396484375,0.0002841949462890625,0.774247491638796,0.8369403090644962,24,{'min_samples_split': 24},89,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8538622129436325,0.8151260504201681,0.8350730688935282,0.7394957983193278,0.8413361169102297,2.8120296469088918e-05,1.2763747038196729e-05,0.027662810553655787,0.011686174862267747
0.0008180141448974609,0.00028619766235351565,0.7725752508361204,0.8361052359956027,25,{'min_samples_split': 25},91,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8538622129436325,0.8235294117647058,0.8308977035490606,0.7226890756302521,0.8413361169102297,2.8969181878220607e-05,1.0994793690022052e-05,0.03466795787245379,0.011936273915796608
0.0008327960968017578,0.00027780532836914064,0.7725752508361204,0.8361052359956027,26,{'min_samples_split': 26},91,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8538622129436325,0.8235294117647058,0.8308977035490606,0.7226890756302521,0.8413361169102297,4.512300731178114e-05,6.071768089804291e-06,0.03466795787245379,0.011936273915796608
0.0008258342742919922,0.00028395652770996094,0.7675585284280937,0.8327649437200286,27,{'min_samples_split': 27},97,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8434237995824635,0.7983193277310925,0.8308977035490606,0.7226890756302521,0.8350730688935282,3.282545057581007e-05,1.1161453165934391e-05,0.028141180340942134,0.008585334110667872
0.000798177719116211,0.0002856254577636719,0.7675585284280937,0.8327649437200286,28,{'min_samples_split': 28},97,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8434237995824635,0.7983193277310925,0.8308977035490606,0.7226890756302521,0.8350730688935282,1.7630985413341487e-05,1.6303368565825232e-05,0.028141180340942134,0.008585334110667872
0.0007947921752929687,0.0002819538116455078,0.7642140468227425,0.8323474071855816,29,{'min_samples_split': 29},102,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8413361169102297,0.7983193277310925,0.8308977035490606,0.7058823529411765,0.8350730688935282,3.178419233541741e-05,1.3168477790296622e-05,0.033720622291141866,0.008093477951180891
0.0007855415344238282,0.00027675628662109374,0.7675585284280937,0.8323474071855816,30,{'min_samples_split': 30},97,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8413361169102297,0.7983193277310925,0.8308977035490606,0.7226890756302521,0.8350730688935282,2.3139330713759648e-05,3.6638970779988374e-06,0.028141180340942134,0.008093477951180891
0.000808095932006836,0.00027637481689453126,0.7675585284280937,0.8323474071855816,31,{'min_samples_split': 31},97,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8413361169102297,0.7983193277310925,0.8308977035490606,0.7226890756302521,0.8350730688935282,5.9028241712316854e-05,2.5473995951067125e-06,0.028141180340942134,0.008093477951180891
0.0007817268371582032,0.0002770423889160156,0.7675585284280937,0.8319298706511349,32,{'min_samples_split': 32},97,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8392484342379958,0.7983193277310925,0.8308977035490606,0.7226890756302521,0.8350730688935282,1.4591061211046848e-05,4.3363351991232515e-06,0.028141180340942134,0.007661299038771906
0.0007683753967285157,0.000278472900390625,0.774247491638796,0.8306772610477946,33,{'min_samples_split': 33},89,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8392484342379958,0.8235294117647058,0.826722338204593,0.7310924369747899,0.8329853862212944,2.296524189155417e-05,3.0902579776801397e-06,0.03234625112940769,0.007783569925151094
0.0007786750793457031,0.0002849578857421875,0.7759197324414716,0.8306772610477946,34,{'min_samples_split': 34},83,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.8392484342379958,0.8235294117647058,0.826722338204593,0.7394957983193278,0.8329853862212944,1.575223450851336e-05,1.549419960759452e-05,0.030219277457325888,0.007783569925151094
0.0007656097412109375,0.00027575492858886717,0.7759197324414716,0.8302597245133478,35,{'min_samples_split': 35},83,0.7933884297520661,0.8176100628930818,0.75,0.8368200836820083,0.773109243697479,0.837160751565762,0.8235294117647058,0.826722338204593,0.7394957983193278,0.8329853862212944,1.8993687593651994e-05,3.3771383685351894e-06,0.030219277457325888,0.007356884660652817
0.0007542610168457031,0.00027637481689453126,0.7775919732441472,0.8277501341071913,36,{'min_samples_split': 36},79,0.8099173553719008,0.8155136268343816,0.7416666666666667,0.8305439330543933,0.773109243697479,0.837160751565762,0.8235294117647058,0.824634655532359,0.7394957983193278,0.8308977035490606,1.85707107016742e-05,3.308439018001872e-06,0.034397091599005135,0.007289863426540941
0.000766754150390625,0.0002784252166748047,0.7775919732441472,0.8277501341071913,37,{'min_samples_split': 37},79,0.8099173553719008,0.8155136268343816,0.7416666666666667,0.8305439330543933,0.773109243697479,0.837160751565762,0.8235294117647058,0.824634655532359,0.7394957983193278,0.8308977035490606,2.3671975480087112e-05,4.519651646069636e-06,0.034397091599005135,0.007289863426540941
0.0007595539093017579,0.0002758026123046875,0.7792642140468228,0.826497524503851,38,{'min_samples_split': 38},75,0.8099173553719008,0.8155136268343816,0.7416666666666667,0.8305439330543933,0.7815126050420168,0.8308977035490606,0.8235294117647058,0.824634655532359,0.7394957983193278,0.8308977035490606,2.15356258499394e-05,4.152591906943749e-06,0.03434273661747973,0.005986866663556632
0.0007511615753173828,0.00027666091918945315,0.7792642140468228,0.826497524503851,39,{'min_samples_split': 39},75,0.8099173553719008,0.8155136268343816,0.7416666666666667,0.8305439330543933,0.7815126050420168,0.8308977035490606,0.8235294117647058,0.824634655532359,0.7394957983193278,0.8308977035490606,1.7300451190834677e-05,5.8236635745132546e-06,0.03434273661747973,0.005986866663556632
0.0007518291473388672,0.0002770423889160156,0.7792642140468228,0.826497524503851,40,{'min_samples_split': 40},75,0.8099173553719008,0.8155136268343816,0.7416666666666667,0.8305439330543933,0.7815126050420168,0.8308977035490606,0.8235294117647058,0.824634655532359,0.7394957983193278,0.8308977035490606,1.1728255569185798e-05,5.694162459765693e-06,0.03434273661747973,0.005986866663556632
0.000753021240234375,0.0002818107604980469,0.7792642140468228,0.8256607007576642,41,{'min_samples_split': 41},75,0.8099173553719008,0.8134171907756813,0.7416666666666667,0.8305439330543933,0.7815126050420168,0.8308977035490606,0.8235294117647058,0.8225469728601252,0.7394957983193278,0.8308977035490606,3.774990617065742e-05,1.1055014724130278e-05,0.03434273661747973,0.0069035815666483175
0.0007551670074462891,0.0002784252166748047,0.7759197324414716,0.8231554815509836,42,{'min_samples_split': 42},83,0.8099173553719008,0.8134171907756813,0.7416666666666667,0.8305439330543933,0.7815126050420168,0.8288100208768268,0.8235294117647058,0.8225469728601252,0.7226890756302521,0.8204592901878914,1.8240875573738453e-05,4.562212867685314e-06,0.038606440470445265,0.006148773349593316
