102,5,381,4,570,7,3.1
104,5,23,8,29,13,2.9
105,5,23,8,29,11,2.9
106,5,23,8,29,9,3.2
108,5,23,8,29,2,2.8
110,5,23,8,29,12,2.9
116,5,23,8,29,9,2.8
118,5,23,8,29,12,3.2
119,5,23,8,29,10,3.2
119,5,381,4,570,3,3.8
125,5,23,8,29,13,3.1
126,5,23,8,29,11,3.1
126,5,381,4,570,9,3.0
129,5,23,8,29,7,3.0
129,5,381,4,570,14,2.8
131,5,23,8,29,4,3.0
132,5,23,8,29,15,3.1
133,5,23,8,29,9,3.1
135,5,23,8,29,11,3.0
135,5,68,3,179,70,2.9
139,5,23,8,29,5,3.1
140,5,23,8,29,10,3.4
141,5,23,8,29,15,3.0
142,5,23,8,29,10,3.1
143,5,23,8,29,8,2.8
148,5,23,8,29,18,2.8
148,5,68,3,179,6,2.6
159,5,23,8,29,12,3.0
160,5,23,8,29,4,3.0
161,5,23,8,29,11,3.1
162,5,23,8,29,10,2.9
163,5,23,8,29,8,2.9
164,5,23,8,29,14,3.3
165,5,23,8,29,8,2.9
167,5,23,8,29,17,3.0
169,5,23,8,29,11,3.0
171,5,23,8,29,6,3.0
172,5,23,8,29,7,3.4
173,5,23,8,29,12,3.0
174,5,23,8,29,10,2.9
175,5,23,8,29,11,3.0
176,5,23,8,29,4,3.5
177,5,23,8,29,10,3.2
178,5,23,8,29,14,3.1
179,5,23,8,29,12,3.0
180,5,23,8,29,7,3.1
181,5,23,8,29,10,3.0
182,5,23,8,29,8,2.9
183,5,23,8,29,7,3.3
184,5,23,8,29,9,2.9
185,5,23,8,29,3,2.7
187,5,23,8,29,2,3.5
189,5,23,8,29,4,3.0
190,5,23,8,29,12,2.8
191,5,23,8,29,15,2.8
192,5,23,8,29,11,3.1
194,5,23,8,29,8,3.0
198,5,23,8,29,11,3.3
199,5,23,8,29,1,3.5
203,5,23,8,29,7,2.9
207,5,23,8,29,4,3.1
210,5,23,8,29,8,3.2
217,5,23,8,29,3,2.5
6,6,5,6,6,37,4.1
6,6,155,7,262,27,3.6
6,6,198,8,261,36,4.6
6,6,198,13,261,36,4.6
6,6,201,5,267,41,4.0
6,6,204,8,273,331,3.7
6,6,204,13,273,331,3.7
6,6,209,7,280,17,2.9
119,6,204,8,273,4,2.3
119,6,204,13,273,4,2.3
176,6,5,6,6,1,5.0
7,7,4,4,7,58,3.5
7,7,34,6,44,24,2.8
7,7,34,15,44,24,2.8
7,7,83,6,102,96,4.1
7,7,92,1,72,20,4.2
7,7,92,4,72,20,4.2
7,7,112,8,140,1,5.0
7,7,112,14,140,1,5.0
7,7,159,8,207,62,3.7
7,7,159,13,207,62,3.7
7,7,271,9,458,3,2.2
7,7,322,12,454,152,4.0
7,7,345,5,71,42,4.1
7,7,357,5,534,73,2.9
7,7,527,8,25,10,3.3
13,7,357,5,534,33,3.1
88,7,357,5,534,9,2.9
90,7,357,5,534,119,3.2
91,7,357,5,534,22,2.8
92,7,357,5,534,22,2.8
102,7,357,5,534,1,3.0
5,8,49,16,59,109,3.2
6,8,273,2,428,45,3.3
7,8,49,16,59,4,2.8
8,8,6,7,8,31,2.9
8,8,49,16,59,585,3.3
8,8,116,7,565,17,2.8
8,8,206,8,276,7,3.1
8,8,210,5,286,81,3.9
8,8,235,8,320,19,4.2
8,8,273,2,428,192,3.5
8,8,312,12,734,146,3.7
8,8,312,17,734,146,3.7
8,8,319,11,45,203,3.1
