mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_jobs,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0009428977966308594,0.13046808242797853,0.7892976588628763,0.8064400330672907,-1,26,"{'n_neighbors': 26, 'n_jobs': -1}",12,0.7768595041322314,0.8071278825995807,0.7583333333333333,0.8096234309623431,0.7983193277310925,0.8121085594989561,0.8151260504201681,0.7933194154488518,0.7983193277310925,0.8100208768267223,5.298225190791792e-05,0.00023406232766838038,0.01971922046552955,0.006748516870580316
0.0009726524353027344,0.1306220054626465,0.7859531772575251,0.8064435344218774,-1,27,"{'n_neighbors': 27, 'n_jobs': -1}",24,0.7768595041322314,0.8113207547169812,0.7666666666666667,0.8096234309623431,0.7899159663865546,0.8016701461377871,0.8151260504201681,0.7974947807933194,0.7815126050420168,0.8121085594989561,5.968271864238974e-05,0.00044369551777792305,0.016364034444113107,0.00581131579169967
0.0008548259735107422,0.1272207260131836,0.782608695652174,0.8018445033411841,-1,28,"{'n_neighbors': 28, 'n_jobs': -1}",28,0.7768595041322314,0.8029350104821803,0.7583333333333333,0.8117154811715481,0.7899159663865546,0.7954070981210856,0.8067226890756303,0.7933194154488518,0.7815126050420168,0.8058455114822547,7.881565790034817e-05,0.0010687400659215279,0.015859353456452202,0.006763886232584907
0.0009339332580566406,0.12973942756652831,0.7809364548494984,0.8030971166070291,-1,29,"{'n_neighbors': 29, 'n_jobs': -1}",35,0.7768595041322314,0.8050314465408805,0.75,0.8075313807531381,0.7815126050420168,0.8016701461377871,0.8067226890756303,0.7954070981210856,0.7899159663865546,0.8058455114822547,6.039992967985181e-05,0.0010453617355487964,0.018543099673879845,0.004292566463897097
0.0009287357330322266,0.12957606315612794,0.782608695652174,0.797663016119947,-1,30,"{'n_neighbors': 30, 'n_jobs': -1}",28,0.768595041322314,0.7987421383647799,0.7583333333333333,0.805439330543933,0.7815126050420168,0.7933194154488518,0.7983193277310925,0.7954070981210856,0.8067226890756303,0.7954070981210856,9.744801709493273e-05,0.0021814467648746325,0.017973836695044557,0.004258656353008521
0.0008641719818115234,0.12922220230102538,0.7876254180602007,0.7989252489546432,-1,31,"{'n_neighbors': 31, 'n_jobs': -1}",20,0.7768595041322314,0.8071278825995807,0.7583333333333333,0.8117154811715481,0.7899159663865546,0.791231732776618,0.7983193277310925,0.7933194154488518,0.8151260504201681,0.791231732776618,9.429840304262598e-05,0.0021232737500263446,0.019233587928586565,0.008725582966577527
0.0008883953094482421,0.12858715057373046,0.7926421404682275,0.7959911229673715,-1,32,"{'n_neighbors': 32, 'n_jobs': -1}",4,0.7851239669421488,0.7987421383647799,0.75,0.801255230125523,0.7983193277310925,0.7954070981210856,0.8067226890756303,0.7933194154488518,0.8235294117647058,0.791231732776618,8.752156068262041e-05,0.0018381714143241993,0.024739408267737205,0.0036168995275709702
0.00096893310546875,0.1303396701812744,0.7926421404682275,0.7976656403046347,-1,33,"{'n_neighbors': 33, 'n_jobs': -1}",4,0.7933884297520661,0.80083857442348,0.75,0.8075313807531381,0.7815126050420168,0.7954070981210856,0.7983193277310925,0.7933194154488518,0.8403361344537815,0.791231732776618,8.075881689582673e-05,0.0005906453400311902,0.02913285572348554,0.005878540548311909
0.001080799102783203,0.1303408145904541,0.7876254180602007,0.7959928736446649,-1,34,"{'n_neighbors': 34, 'n_jobs': -1}",20,0.7851239669421488,0.80083857442348,0.7416666666666667,0.801255230125523,0.7815126050420168,0.7891440501043842,0.7983193277310925,0.791231732776618,0.8319327731092437,0.7974947807933194,0.00019428591769264146,0.0016913596091246083,0.02908559699589692,0.004959914981205003
0.0009007453918457031,0.12857561111450194,0.7892976588628763,0.7985024640508215,-1,35,"{'n_neighbors': 35, 'n_jobs': -1}",12,0.8016528925619835,0.8029350104821803,0.75,0.8075313807531381,0.7815126050420168,0.7933194154488518,0.7983193277310925,0.791231732776618,0.8151260504201681,0.7974947807933194,7.163786021599583e-05,0.0017189156106492787,0.02240068715174427,0.006031778449230971
0.0008822441101074219,0.12762537002563476,0.7926421404682275,0.795156927068377,-1,36,"{'n_neighbors': 36, 'n_jobs': -1}",4,0.7933884297520661,0.80083857442348,0.75,0.799163179916318,0.8067226890756303,0.7828810020876826,0.7899159663865546,0.7954070981210856,0.8235294117647058,0.7974947807933194,6.79071362530089e-05,0.0007716634913929548,0.02440859061162876,0.006396212289720556
0.000968170166015625,0.13059720993041993,0.7926421404682275,0.79976207270083,-1,37,"{'n_neighbors': 37, 'n_jobs': -1}",4,0.7933884297520661,0.8092243186582809,0.7666666666666667,0.8117154811715481,0.7983193277310925,0.7849686847599165,0.7899159663865546,0.7954070981210856,0.8151260504201681,0.7974947807933194,7.642353496179903e-05,0.0008701375313526227,0.01562049256125918,0.009750577578600966
0.0009179592132568359,0.13078923225402833,0.7892976588628763,0.7926499535218985,-1,38,"{'n_neighbors': 38, 'n_jobs': -1}",12,0.7933884297520661,0.7966457023060797,0.7583333333333333,0.803347280334728,0.7983193277310925,0.7828810020876826,0.7815126050420168,0.7954070981210856,0.8151260504201681,0.7849686847599165,5.741353046059949e-05,0.00047952868441888263,0.01888899541475995,0.007647678831455478
0.0009502410888671875,0.12676057815551758,0.7892976588628763,0.7934902786226719,-1,39,"{'n_neighbors': 39, 'n_jobs': -1}",12,0.7933884297520661,0.8029350104821803,0.7583333333333333,0.803347280334728,0.7983193277310925,0.7828810020876826,0.7815126050420168,0.791231732776618,0.8151260504201681,0.7870563674321504,0.0001153140338572314,0.000908238816285009,0.01888899541475995,0.008311635624732477
0.0008907794952392578,0.1290212631225586,0.7909698996655519,0.7905605274973809,-1,40,"{'n_neighbors': 40, 'n_jobs': -1}",9,0.7933884297520661,0.7987421383647799,0.7416666666666667,0.7949790794979079,0.8067226890756303,0.7828810020876826,0.7899159663865546,0.7954070981210856,0.8235294117647058,0.7807933194154488,0.00011494005153149555,0.002100490022209255,0.02737762043668225,0.007270833091350957
0.0009329795837402343,0.1309596061706543,0.794314381270903,0.7918140106081155,-1,41,"{'n_neighbors': 41, 'n_jobs': -1}",2,0.8099173553719008,0.7987421383647799,0.7583333333333333,0.797071129707113,0.7983193277310925,0.7849686847599165,0.773109243697479,0.791231732776618,0.8319327731092437,0.7870563674321504,2.6182398458522055e-05,0.00014725551372390334,0.02614067131026421,0.005393866098905135
0.0009565353393554688,0.13080286979675293,0.7876254180602007,0.7893079215565455,-1,42,"{'n_neighbors': 42, 'n_jobs': -1}",20,0.7933884297520661,0.80083857442348,0.75,0.7907949790794979,0.7983193277310925,0.7807933194154488,0.7815126050420168,0.7933194154488518,0.8151260504201681,0.7807933194154488,6.74782706678493e-05,0.0003294207342743739,0.02171388301650922,0.0076974837200823225
0.0009711742401123047,0.12993941307067872,0.7892976588628763,0.7926552128787879,-1,43,"{'n_neighbors': 43, 'n_jobs': -1}",12,0.8099173553719008,0.8071278825995807,0.7583333333333333,0.7949790794979079,0.8067226890756303,0.7828810020876826,0.773109243697479,0.791231732776618,0.7983193277310925,0.7870563674321504,0.00010058886351021573,0.0017289660514092256,0.02017912603987272,0.008291768055561841
