mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.123251485824585,0.1594396161560677,0.0017936229705810547,9.453421431941103e-05,0.1,"(36, 36)","{'alpha': 0.1, 'hidden_layer_sizes': (36, 36)}",0.675,0.7,0.75,0.7142857142857143,0.6554621848739496,0.6989495798319327,0.03257969212932465,2132,0.9393305439330544,0.9435146443514645,0.9435146443514645,0.9394572025052192,0.9394572025052192,0.9410548475292844,0.0020089481302724846
5.866880083084107,0.2880887431488925,0.0020532608032226562,0.00010280270738995184,0.1,"(37, 37)","{'alpha': 0.1, 'hidden_layer_sizes': (37, 37)}",0.6583333333333333,0.7,0.7666666666666667,0.7226890756302521,0.6722689075630253,0.7039915966386555,0.03843097442852646,1967,0.9414225941422594,0.9435146443514645,0.9393305439330544,0.941544885177453,0.9394572025052192,0.9410539740218902,0.001546070087298798
6.106092214584351,0.1324096397317025,0.0019689083099365236,0.000180357778835444,0.1,"(38, 38)","{'alpha': 0.1, 'hidden_layer_sizes': (38, 38)}",0.6583333333333333,0.6916666666666667,0.75,0.7142857142857143,0.680672268907563,0.6989915966386555,0.031234961151550413,2112,0.9372384937238494,0.9435146443514645,0.9435146443514645,0.941544885177453,0.9394572025052192,0.9410539740218902,0.0024272766585430603
6.3004233837127686,0.24671255600714634,0.0020137786865234374,0.00010780544710910221,0.1,"(39, 39)","{'alpha': 0.1, 'hidden_layer_sizes': (39, 39)}",0.675,0.6666666666666666,0.7666666666666667,0.7058823529411765,0.6974789915966386,0.7023389355742298,0.03519704537869042,2022,0.9393305439330544,0.9435146443514645,0.9414225941422594,0.9394572025052192,0.9373695198329853,0.9402189009529967,0.0020880199869601794
6.1355329036712645,0.07933119772827722,0.0019824981689453127,0.0001818289192001333,0.1,"(40, 40)","{'alpha': 0.1, 'hidden_layer_sizes': (40, 40)}",0.675,0.6833333333333333,0.7416666666666667,0.7478991596638656,0.7142857142857143,0.712436974789916,0.029542878358147184,1632,0.9393305439330544,0.9435146443514645,0.9414225941422594,0.941544885177453,0.9373695198329853,0.9406364374874434,0.002102641347443638
6.661272716522217,0.135426101955524,0.0021506786346435548,0.00014991130827777516,0.1,"(41, 41)","{'alpha': 0.1, 'hidden_layer_sizes': (41, 41)}",0.6833333333333333,0.6833333333333333,0.7583333333333333,0.7142857142857143,0.680672268907563,0.7039915966386555,0.02985401794244559,1967,0.9393305439330544,0.9435146443514645,0.9435146443514645,0.9436325678496869,0.9394572025052192,0.9418899205981779,0.0020388624390069183
6.90710768699646,0.24637569639020365,0.002072715759277344,8.405282586756055e-05,0.1,"(42, 42)","{'alpha': 0.1, 'hidden_layer_sizes': (42, 42)}",0.6916666666666667,0.6833333333333333,0.775,0.7563025210084033,0.680672268907563,0.7173949579831932,0.04000708554023944,1522,0.9393305439330544,0.9435146443514645,0.9435146443514645,0.9394572025052192,0.9394572025052192,0.9410548475292844,0.0020089481302724846
7.526455116271973,0.29206011888798905,0.002237224578857422,0.0004713830543074561,0.1,"(43, 43)","{'alpha': 0.1, 'hidden_layer_sizes': (43, 43)}",0.6833333333333333,0.675,0.7583333333333333,0.7563025210084033,0.6722689075630253,0.709047619047619,0.03958597191695839,1744,0.9393305439330544,0.9435146443514645,0.9414225941422594,0.9394572025052192,0.9394572025052192,0.9406364374874434,0.0016363780308966945
7.226544427871704,0.19446197087504372,0.0022167682647705076,0.00029028878872579104,0.1,"(44, 44)","{'alpha': 0.1, 'hidden_layer_sizes': (44, 44)}",0.6916666666666667,0.7,0.7583333333333333,0.7478991596638656,0.680672268907563,0.7157142857142856,0.03132225735912799,1565,0.9414225941422594,0.9435146443514645,0.9456066945606695,0.9394572025052192,0.9394572025052192,0.9418916676129664,0.002387833719439601
7.917970371246338,0.4105239266514979,0.0023255348205566406,0.00011437553286295981,0.1,"(45, 45)","{'alpha': 0.1, 'hidden_layer_sizes': (45, 45)}",0.7083333333333334,0.7,0.7416666666666667,0.7310924369747899,0.6470588235294118,0.7056302521008403,0.032913719525698444,1908,0.9393305439330544,0.9435146443514645,0.9414225941422594,0.941544885177453,0.9394572025052192,0.9410539740218902,0.001546070087298798
8.081194305419922,0.30512892695408994,0.002218770980834961,6.956764892359244e-05,0.1,"(46, 46)","{'alpha': 0.1, 'hidden_layer_sizes': (46, 46)}",0.6666666666666666,0.675,0.725,0.7394957983193278,0.7058823529411765,0.7024089635854343,0.028023617697709738,1998,0.9414225941422594,0.9435146443514645,0.9435146443514645,0.941544885177453,0.9394572025052192,0.9418907941055721,0.001518881925080154
8.217101907730102,0.3514769936195943,0.0019079208374023437,0.00024624037058747255,0.1,"(47, 47)","{'alpha': 0.1, 'hidden_layer_sizes': (47, 47)}",0.675,0.7,0.7166666666666667,0.7310924369747899,0.6470588235294118,0.6939635854341737,0.029966962064401578,2231,0.9393305439330544,0.9435146443514645,0.9414225941422594,0.941544885177453,0.9394572025052192,0.9410539740218902,0.001546070087298798
6.907447671890258,0.16584600937836308,0.0014730930328369141,0.00011860403906992131,0.1,"(48, 48)","{'alpha': 0.1, 'hidden_layer_sizes': (48, 48)}",0.7,0.6833333333333333,0.75,0.7142857142857143,0.6890756302521008,0.7073389355742297,0.02379874529468385,1829,0.9393305439330544,0.9435146443514645,0.9414225941422594,0.941544885177453,0.9394572025052192,0.9410539740218902,0.001546070087298798
6.270469331741333,0.32706802259304973,0.0012436866760253905,5.279399237355282e-05,0.1,"(49, 49)","{'alpha': 0.1, 'hidden_layer_sizes': (49, 49)}",0.6583333333333333,0.6833333333333333,0.7166666666666667,0.7394957983193278,0.6470588235294118,0.6889775910364146,0.03477609932363031,2293,0.9393305439330544,0.9435146443514645,0.9435146443514645,0.941544885177453,0.9373695198329853,0.9410548475292844,0.0024040050262226125
0.06290240287780761,0.009379736403890124,0.0016964912414550782,0.00017391550090364104,0.1,"(1, 1, 1)","{'alpha': 0.1, 'hidden_layer_sizes': (1, 1, 1)}",0.825,0.7583333333333333,0.8,0.7983193277310925,0.7394957983193278,0.7842296918767507,0.03092306938158285,388,0.7803347280334728,0.803347280334728,0.7761506276150628,0.7891440501043842,0.8037578288100209,0.7905469029795338,0.011418296540394678
0.3520218372344971,0.05595406872020457,0.001615285873413086,0.00012273319757103818,0.1,"(2, 2, 2)","{'alpha': 0.1, 'hidden_layer_sizes': (2, 2, 2)}",0.825,0.7666666666666667,0.8166666666666667,0.8067226890756303,0.773109243697479,0.7976330532212884,0.023469912767421143,117,0.803347280334728,0.8179916317991632,0.803347280334728,0.8100208768267223,0.8162839248434238,0.8101981988277529,0.006191530830188439
0.7172726631164551,0.24447391459469686,0.001530599594116211,0.00020614373514755502,0.1,"(3, 3, 3)","{'alpha': 0.1, 'hidden_layer_sizes': (3, 3, 3)}",0.7666666666666667,0.7583333333333333,0.7833333333333333,0.8067226890756303,0.6974789915966386,0.7625070028011205,0.036474998334951964,1111,0.8179916317991632,0.8284518828451883,0.8242677824267782,0.8225469728601252,0.8183716075156576,0.8223259754893826,0.0038928076307075325
1.2395346641540528,0.2640385727547065,0.0012256145477294923,0.00012275131451476665,0.1,"(4, 4, 4)","{'alpha': 0.1, 'hidden_layer_sizes': (4, 4, 4)}",0.7666666666666667,0.7583333333333333,0.7583333333333333,0.7647058823529411,0.6890756302521008,0.747422969187675,0.029364955414866827,1208,0.8430962343096234,0.8493723849372385,0.8410041841004184,0.8496868475991649,0.8643006263048016,0.8494920554502494,0.008152257649037067
